College Name,Undergraduate Pop.,Admit Rate
Henry Ford College,12786,open admission
Heritage Bible College,42,open admission
Heritage Christian University,59,100%
Heritage University,812,open admission
Herkimer County BOCES-Practical Nursing Program,97,open admission
Herkimer County Community College,2632,open admission
Herzing University-Akron,494,87%
Herzing University-Atlanta,593,86%
Herzing University-Birmingham,537,76%
Herzing University-Brookfield,238,96%
Herzing University-Kenner,398,87%
Herzing University-Kenosha,280,37%
Herzing University-Madison,1732,83%
Herzing University-Minneapolis,372,77%
Herzing University-Toledo,213,91%
Herzing University-Winter Park,506,76%
Hesston College,440,open admission
Hibbing Community College,1208,open admission
Hickey College,246,not reported
High Desert Medical College,631,open admission
High Plains Technology Center,285,open admission
High Point University,4467,81%
High Tech High Graduate School of Education,0,not reported
Highland Community College,1678,open admission
Highland Community College,3260,open admission
Highlands College of Montana Tech,769,open admission
Highline College,6824,open admission
Hilbert College,746,87%
Hill College,4236,open admission
Hillsborough Community College,27626,open admission
Hillsdale Beauty College,23,open admission
Hillsdale College,1512,41%
Hilltop Beauty School,110,open admission
Hillyard Technical Center,106,48%
Hinds Community College,12061,open admission
Hinton Barber and Beauty College,76,open admission
Hiram College,1210,64%
Hiwassee College,302,64%
Hobart Institute of Welding Technology,464,open admission
Hobart William Smith Colleges,2237,64%
Hobe Sound Bible College,233,open admission
Hocking College,3375,open admission
Hodges University,1078,58%
Hofstra University,6861,64%
Hogan Institute of Cosmetology and Esthetics,16,open admission
Hohokus School of Trade and Technical Sciences,190,open admission
Holistic Massage Training Institute,59,open admission
Hollins University,645,48%
-9999,-9999,-9999
Hollywood Institute of Beauty Careers,235,open admission
Hollywood Institute of Beauty Careers-Casselberry,242,open admission
Hollywood Institute of Beauty Careers-West Palm Beach,163,open admission
Holmes Community College,5789,open admission
Holy Apostles College and Seminary,164,open admission
Holy Cross College,557,74%
Holy Family University,2093,71%
Holy Name Medical Center School of Nursing,159,100%
Holy Names University,591,53%
Holyoke Community College,5565,open admission
Homestead Schools,150,open admission
Hondros College of Nursing,2093,55%
Honolulu Community College,3563,open admission
Hood College,1128,81%
Hood Theological Seminary,0,not reported
Hope College,3150,74%
Hope College of Arts and Sciences,120,open admission
Hope International University,868,28%
Hopkinsville Community College,2640,open admission
Horizon University,16,open admission
Horry-Georgetown Technical College,7079,open admission
Hoss Lee Academy,56,open admission
Hot Springs Beauty College,38,open admission
Houghton College,1030,91%
Houghton Lake Institute of Cosmetology,9,open admission
Housatonic Community College,5138,open admission
House of Heavilin Beauty College-Academy of Beauty Professionals,38,open admission
House of Heavilin Beauty College-Academy of Beauty Professionals,36,open admission
House of Heavilin Beauty College-Academy of Beauty Professionals,31,open admission
House of Heavilin Beauty College-Blue Springs,111,open admission
House of Heavilin Beauty College-Kansas City,27,open admission
House of Heavilin Beauty College-Raymore,24,open admission
Houston Baptist University,2316,69%
Houston Community College,57120,open admission
Houston Graduate School of Theology,0,not reported
Houston International College Cardiotech Ultrasound School,71,open admission
Houston Training School-Gulfgate,129,open admission
Houston Training School-Main Campus,93,open admission
Houston Training Schools-Gessner,119,open admission
Houston Training Schools-Southwest,80,open admission
Howard College,4264,open admission
Howard Community College,9476,open admission
Howard Payne University,981,59%
Howard University,6354,41%
Howell Cheney THS/CT Aero Tech School,59,open admission
HSHS St. John's Hospital School of Clinical Laboratory Science,6,not reported
Hudson County Community College,8864,open admission
Hudson Valley Community College,11020,open admission
Huertas College,727,open admission
Hult International Business School,512,55%
Humacao Community College,468,open admission
Humboldt State University,7862,82%
Humphreys University-Stockton and Modesto Campuses,324,open admission
Hunter Business School,1008,open admission
Huntingdon College,1102,56%
Huntingdon County Career and Technology Center,36,open admission
Huntington College of Health Sciences,144,open admission
Huntington Junior College,368,open admission
Huntington University,1076,81%
Huntsville Bible College,118,open admission
Hussian College School of Art,52,69%
Hussian College-Relativity Campus California,199,78%
Husson University,2768,86%
Huston-Tillotson University,1052,30%
Hutchinson Community College,5854,open admission
HVAC Technical Institute,147,open admission
Hypnosis Motivation Institute,157,open admission
IBMC College,359,open admission
-9999,-9999,-9999
Icahn School of Medicine at Mount Sinai,0,not reported
ICPR Junior College-Arecibo,281,open admission
ICPR Junior College-General Institutional,363,open admission
ICPR Junior College-Manati,380,open admission
ICPR Junior College-Mayaguez,403,open admission
Idaho State University,10557,open admission
Ideal Beauty Academy,10,open admission
Ideal Beauty Academy,6,open admission
IGlobal University,74,open admission
Iliff School of Theology,0,not reported
Ilisagvik College,111,open admission
Illinois Central College,9266,open admission
Illinois College,959,55%
Illinois College of Optometry,0,not reported
-9999,-9999,-9999
Illinois Institute of Technology,2900,54%
Illinois Media School,169,open admission
Illinois Media School-Chicago Campus,109,open admission
Illinois State University,18330,89%
Illinois Valley Community College,3241,open admission
Illinois Wesleyan University,1649,61%
Image Maker Beauty Institute,55,open admission
Imagine-Paul Mitchell Partner School,385,open admission
Immaculata University,1482,83%
Immokalee Technical College,398,open admission
Imperial Valley College,8449,open admission
-9999,-9999,-9999
Independence College of Cosmetology,65,open admission
Independence Community College,897,open admission
Independence University,8278,open admission
Indian Capital Technology Center-Muskogee,732,open admission
Indian Capital Technology Center-Sallisaw,174,open admission
Indian Capital Technology Center-Stilwell,137,open admission
Indian Capital Technology Center-Tahlequah,326,open admission
Indian Hills Community College,4090,open admission
Indian River State College,17598,open admission
Indiana County Technology Center,95,open admission
Indiana Institute of Technology,7073,76%
Indiana Massage College,95,open admission
Indiana State University,11583,85%
Indiana University of Pennsylvania-Main Campus,10258,91%
Indiana University-Bloomington,33429,76%
Indiana University-East,3292,70%
Indiana University-Kokomo,2876,70%
Indiana University-Northwest,3700,74%
Indiana University-Purdue University-Fort Wayne,9957,94%
Indiana University-Purdue University-Indianapolis,21610,80%
Indiana University-South Bend,4876,78%
Indiana University-Southeast,4823,83%
Indiana Wesleyan University-Marion,2799,72%
Indiana Wesleyan University-National & Global,6575,open admission
Industrial Management Training Institute,113,open admission
Industrial Technical College,132,open admission
Infinity College,102,open admission
Inland Massage Institute,46,open admission
Inner State Beauty School,102,open admission
Innovate Salon Academy,135,open admission
Innovations Design Academy,23,open admission
Institucion Chaviano de Mayaguez,90,open admission
Institute for Business and Technology,587,open admission
Institute for Clinical Social Work,0,not reported
Institute for Doctoral Studies in the Visual Arts,0,not reported
Institute for Therapeutic Massage,57,open admission
Institute of Advanced Medical Esthetics,18,open admission
Institute of American Indian and Alaska Native Culture and Arts Development,609,100%
Institute of Audio Research,-9999,open admission
Institute of Beauty Careers,110,open admission
Institute of Beauty Occupation and Technology Course,6,open admission
Institute of Beauty Occupations and Technology Course-San Sebastian,54,open admission
Institute of Clinical Acupuncture & Oriental Med,0,not reported
Institute of Culinary Education,558,open admission
-9999,-9999,-9999
Institute of Health & Technology,124,open admission
Institute of Health Sciences,81,open admission
Institute of Medical Careers,159,open admission
Institute of Production and Recording,212,open admission
Institute of Professional Careers,9,open admission
Institute of Taoist Education and Acupuncture,0,not reported
Institute of Technology,1189,open admission
Institute of Technology,328,open admission
